id,RSRP,RSRQ,SINR,earfcn,latitude,longitude,altitude
1,-86,-7,23,2850,37.6100669,126.9974275,-47.65
2,-86,-7,23,2850,37.6100649,126.9974253,-46.22
3,-86,-7,23,2850,37.6100644,126.997427,-45.59
4,-86,-7,23,2850,37.6100664,126.9974227,-42.71
5,-86,-7,23,2850,37.6100676,126.9974245,-41.93
6,-67,-11,8,643488,37.6100668,126.997423,-40.31
7,-67,-11,8,643488,37.6100665,126.9974221,-38.87
8,-67,-11,8,643488,37.6100663,126.9974193,-35.93
9,-67,-11,8,643488,37.6100675,126.9974198,-34.94
10,-67,-11,8,643488,37.6108284,126.996082,121.71
11,-67,-11,8,643488,37.610829,126.9960818,121.62
12,-67,-11,8,643488,37.6108294,126.9960817,121.57
13,-67,-11,8,643488,37.6108298,126.9960816,121.56
14,-67,-11,8,643488,37.61083,126.9960815,121.47
15,-67,-11,10,643488,37.6108306,126.9960814,121.41
16,-67,-11,10,643488,37.6108308,126.9960816,121.38
17,-67,-11,10,643488,37.6108309,126.9960818,121.29
18,-67,-11,10,643488,37.6108313,126.996082,121.29
19,-67,-11,10,643488,37.6108344,126.9960807,120.37
20,-67,-11,10,643488,37.6108348,126.9960802,120.29
21,-67,-11,10,643488,37.6108349,126.99608,120.22
22,-67,-11,10,643488,37.610835,126.99608,120.16
23,-67,-11,10,643488,37.6108351,126.9960799,120.12
24,-67,-11,10,643488,37.6108354,126.9960798,120.08
25,-70,-11,7,643488,37.6108355,126.9960797,120.07
26,-70,-11,7,643488,37.6108356,126.9960797,120.08
27,-70,-11,7,643488,37.6108357,126.9960797,120.07
28,-70,-11,7,643488,37.610837,126.9960787,121.31
29,-70,-11,7,643488,37.6108371,126.9960789,121.28
30,-70,-11,7,643488,37.6108377,126.996079,121.36
31,-70,-11,7,643488,37.6108379,126.996079,121.44
32,-70,-11,7,643488,37.6108382,126.9960792,121.49
33,-70,-11,7,643488,37.6108387,126.9960794,121.63
34,-70,-11,7,643488,37.6108395,126.9960794,121.56
35,-69,-11,6,643488,37.6108394,126.9960794,121.53
36,-69,-11,6,643488,37.6108389,126.9960788,121.7
37,-69,-11,6,643488,37.6108392,126.9960755,122.93
38,-69,-11,6,643488,37.6108394,126.9960752,123.08
39,-69,-11,6,643488,37.6108397,126.9960749,123.21
40,-69,-11,6,643488,37.6108401,126.9960747,123.34
